julius;telepules;latitude;longitude
1;Sátoraljaújhely;48,40083406;21,65710322
2;Gönc;48,47384839;21,27584752
3;Bodrogkeresztúr;48,15938889;21,36183409
4;Tiszaújváros;47,93101207;21,04274459
5;;;
6;Nyírlugos;;
7;Csengersima;;
8;Milota;;
9;Vásárosnamény;;
10;Tokaj;;
11;Buják;;
12;Pápa;;
13;;;
14;Szentgotthárd;;
15;;;
16;;;
17;;;
18;Dunafürdõ;;
19;Dunafürdõ;;
20;Magyaregregy;;
21;;;
22;;;
23;Terecsenypuszta;;
24;Kaposszerdahely;;
25;Gödöllõ;;
26;Szigetmonostor;;
27;;;
28;;;
29;;;
30;;;
31;;;
